file_path,num_pages
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0020_Colegiado de ADS_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/03 - Março/Mar_Port_0027_Designar NDE GPI.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0015_Fiscal de contrato de Impressão.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0010_Conceder RT para professor BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0007_Conceder RT para professor BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0014_Aprovar ad referendum Projeto Pedagógico do Curso Superior em Licenciatura em Pedagogia e EPT.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0006_Comissão Eleitoral Coordenador de Secretaria Escolar_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0013_ Designa CAAD Informática_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0012_Colegiado de GTI_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0005_Comissão Eleitoral Coordenador de Pedagogia EPT_BTV.pdf,1
"/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0011_Designar o COMPESQ - COMITÊ DE PESQUISA, INOVAÇÃO E PÓS-GRADUAÇÃO DO CÂMPUS_BTV.pdf",2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0008_Conceder RT para professor BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/02 - Fevereiro/Fev_Port_0009_Conceder RT para professor BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/05 - Maio/Mai_Port_0033_Fiscal de contrato Vigilância.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/01 - Janeiro/Jan_Port_0003_Comissão de inventário_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/01 - Janeiro/Jan_Port_0001_Comissão de Matricula 2024-1_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/01 - Janeiro/Jan_Port_0002_Fiscal de contrato Portaria.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/01 - Janeiro/Jan_Port_0004_Alterar Comissão de Matricula 2024-1_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/04 - Abril/Abr_Port_0032_ENADE ADS_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/04 - Abril/Abr_Port_0029_Aprovar ad referendum Projeto Pedagógico do Curso Superior de Tecnologia em Gestão da Produção Industrial.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/04 - Abril/Abr_Port_0031_Revogar e Designar CPA DO CAMPUS_BTV.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/04 - Abril/Abr_Port_0030_Designar Orientadores de Estágio para o ano letivo de 2024.pdf,2
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2024/04 - Abril/Abr_Port_0028_Aprovar ad referendum Projeto Pedagógico do Curso Superior de Tecnologia em Processos Gerenciais.pdf,1
